lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
34.74,60.78,307.99,14,0,13.22,IR,1594463566
53.88,67.42,304.0,58,38,4.02,KZ,1594463566
53.05,158.65,287.15,87,40,3.0,RU,1594463566
-2.02,147.27,301.26,78,47,3.16,PG,1594463567
61.13,21.51,290.15,59,20,4.6,FI,1594463351
-16.26,-56.62,293.13,52,0,2.75,BR,1594463567
-20.34,57.76,297.15,64,75,8.2,MU,1594463567
25.99,-80.23,300.37,83,1,3.1,US,1594463567
34.64,-120.46,285.15,100,90,0.43,US,1594463567
36.92,34.88,308.15,59,40,3.1,TR,1594463568
64.86,-147.8,284.15,62,40,3.6,US,1594463526
44.08,-80.2,293.15,100,20,2.25,CA,1594463415
26.3,68.63,317.15,34,34,2.1,PK,1594463568
1.2,-70.17,294.01,99,56,0.94,CO,1594463569
9.49,50.81,307.43,41,20,12.45,SO,1594463569
10.57,72.64,301.43,75,100,6.28,IN,1594463569
33.97,36.66,308.15,24,0,5.1,SY,1594463569
-6.64,-51.99,296.5,72,18,0.76,BR,1594463570
9.11,18.35,301.15,69,20,1.54,TD,1594463570
-29.34,-49.73,287.53,92,95,5.2,BR,1594463570
-4.32,20.58,311.64,29,13,0.63,CD,1594463570
9.18,105.15,300.3,86,100,1.73,VN,1594463557
26.73,33.94,308.15,32,0,7.2,EG,1594463571
-0.95,-80.73,293.87,88,72,1.25,EC,1594463407
-9.33,34.77,293.27,56,16,4.3,TZ,1594463571
48.01,91.64,299.9,23,86,1.13,MN,1594463571
67.8,130.41,295.49,37,47,3.47,RU,1594463571
32.67,-17.1,297.15,60,20,7.7,PT,1594463572
64.38,-173.3,285.69,76,85,0.77,RU,1594463572
70.63,147.92,285.68,64,0,5.7,RU,1594463572
45.76,106.27,298.39,25,64,3.9,MN,1594463572
22.81,115.83,301.93,82,7,3.67,CN,1594463572
28.22,61.22,309.8,9,39,10.08,IR,1594463573
-2.1,-56.49,296.88,89,20,0.87,BR,1594463573
11.24,-74.2,297.59,88,86,0.89,CO,1594463573
-35.33,-72.42,280.69,80,96,3.05,CL,1594463534
6.19,-67.49,296.48,95,100,1.82,CO,1594463573
13.22,-59.52,301.15,78,40,8.2,BB,1594463574
70.47,-68.59,286.15,54,1,0.91,CA,1594463574
63.79,74.52,297.12,39,26,3.71,RU,1594463574
-21.36,55.77,298.15,53,43,6.2,RE,1594463574
13.78,124.39,301.07,78,100,1.76,PH,1594463574
61.99,-49.67,279.05,94,100,2.65,GL,1594463575
59.94,55.0,297.75,40,0,4.55,RU,1594463575
38.42,-121.42,293.71,52,1,1.66,US,1594463297
-20.01,57.66,296.48,66,69,7.15,MU,1594463575
